host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1
817,10200_to_10299,10249.5,20,20,1,1,1.3603304,1.3603304,1.112728,3.7023650000000004,1.678664252631579,1.678664252631579,1.3603304,1.3603304,1.112728,3.7023650000000004,1.678664252631579,1.678664252631579,1
118,10300_to_10399,10349.5,20,20,1,7,2.51742505,2.51742505,1.881802,5.812611,3.895506394736842,3.895506394736842,2.51742505,2.51742505,1.881802,5.812611,3.895506394736842,3.895506394736842,1
257,10300_to_10399,10349.5,20,20,1,1,1.7713530000000002,1.7713530000000002,2.045384,3.466642,1.8564552421052631,1.8564552421052631,1.7713530000000002,1.7713530000000002,2.045384,3.466642,1.8564552421052631,1.8564552421052631,1
359,10300_to_10399,10349.5,20,20,1,6,0.7321158499999999,0.7321158499999999,0.793878,1.667262,0.8906535315789473,0.8906535315789473,0.7321158499999999,0.7321158499999999,0.793878,1.667262,0.8906535315789473,0.8906535315789473,1
549,10300_to_10399,10349.5,20,20,1,1,0.11643275000000002,0.11643275000000002,0.093043,0.24552200000000002,0.13380804736842106,0.13380804736842106,0.11643275000000002,0.11643275000000002,0.093043,0.24552200000000002,0.13380804736842106,0.13380804736842106,1
760,10300_to_10399,10349.5,20,20,1,1,1.9773507499999998,1.9773507499999998,1.636267,4.545492,3.136191394736842,3.136191394736842,1.9773507499999998,1.9773507499999998,1.636267,4.545492,3.136191394736842,3.136191394736842,1
817,10300_to_10399,10349.5,20,20,1,1,1.2507603500000004,1.2507603500000004,1.06883,3.107358,1.4868312263157895,1.4868312263157895,1.2507603500000004,1.2507603500000004,1.06883,3.107358,1.4868312263157895,1.4868312263157895,1
118,10500_to_10599,10549.5,20,20,1,8,2.6919156500000003,2.6919156500000003,2.683611,7.536174000000001,4.237952721052632,4.237952721052632,2.6919156500000003,2.6919156500000003,2.683611,7.536174000000001,4.237952721052632,4.237952721052632,1
257,10500_to_10599,10549.5,20,20,1,1,1.97314895,1.97314895,2.136708,3.7828350000000004,1.946204805263158,1.946204805263158,1.97314895,1.97314895,2.136708,3.7828350000000004,1.946204805263158,1.946204805263158,1
359,10500_to_10599,10549.5,20,20,1,6,0.6420657999999999,0.6420657999999999,0.71743,1.6673159999999998,0.874315852631579,0.874315852631579,0.6420657999999999,0.6420657999999999,0.71743,1.6673159999999998,0.874315852631579,0.874315852631579,1
549,10500_to_10599,10549.5,20,20,1,1,0.14150734999999998,0.14150734999999998,0.105236,0.27199799999999996,0.14201254210526315,0.14201254210526315,0.14150734999999998,0.14150734999999998,0.105236,0.27199799999999996,0.14201254210526315,0.14201254210526315,1
760,10500_to_10599,10549.5,20,20,1,1,2.42662105,2.42662105,2.338312,5.674738000000001,3.6715708789473687,3.6715708789473687,2.42662105,2.42662105,2.338312,5.674738000000001,3.6715708789473687,3.6715708789473687,1
817,10500_to_10599,10549.5,20,20,1,1,1.30236855,1.30236855,1.066957,3.170768,1.5365523315789473,1.5365523315789473,1.30236855,1.30236855,1.066957,3.170768,1.5365523315789473,1.5365523315789473,1
118,10700_to_10799,10749.5,20,20,1,5,2.4636042,2.4636042,2.175162,6.241121999999999,3.915156189473684,3.915156189473684,2.4636042,2.4636042,2.175162,6.241121999999999,3.915156189473684,3.915156189473684,1
257,10700_to_10799,10749.5,20,20,1,1,1.5362698500000003,1.5362698500000003,2.2023539999999997,3.942622,1.801107994736842,1.801107994736842,1.5362698500000003,1.5362698500000003,2.2023539999999997,3.942622,1.801107994736842,1.801107994736842,1
359,10700_to_10799,10749.5,20,20,1,6,0.80405335,0.80405335,0.7399020000000001,1.6415020000000002,0.9340232789473685,0.9340232789473685,0.80405335,0.80405335,0.7399020000000001,1.6415020000000002,0.9340232789473685,0.9340232789473685,1
549,10700_to_10799,10749.5,20,20,1,1,0.11109944999999999,0.11109944999999999,0.095191,0.229516,0.13003401578947368,0.13003401578947368,0.11109944999999999,0.11109944999999999,0.095191,0.229516,0.13003401578947368,0.13003401578947368,1
760,10700_to_10799,10749.5,20,20,1,1,2.23725815,2.23725815,1.850244,5.224276000000001,3.5116240894736843,3.5116240894736843,2.23725815,2.23725815,1.850244,5.224276000000001,3.5116240894736843,3.5116240894736843,1
